y,y,y,y,y,y,y,y,y,y
n,n,n,n,n,n,n,n,n,n
y,y,y,y,y,n,y,y,n,n
y,y,y,y,y,y,y,y,y,y
y,y,y,y,y,y,n,n,n,n
yd,y,y,y,y,n,n,n,n,n
n,n,n,n,n,n,n,n,n,n
n,n,n,yd,yd,n,n,n,n,n
yd,yd,y,y,y,y,n,n,n,n
yd,yd,y,y,y,y,n,n,n,n
